policy_id,claim_id,customer_age,customer_gender,customer_state,vehicle_make,vehicle_model,vehicle_year,claim_date,claim_type,claim_amount,deductible,claim_status,annual_premium,is_fraud
POL000028,CLM00000028,19,M,NY,Chevrolet,SUV,2011,2024-01-05 16:00:29.415798,Comprehensive,2102.79,250,Approved,1717.96,False
POL000029,CLM00000029,77,M,IL,Nissan,Coupe,2016,2024-08-26 16:00:29.415798,Comprehensive,1283.7,2500,Approved,1592.18,False
POL000030,CLM00000030,38,M,NC,Mercedes,Sedan,2018,2025-01-17 16:00:29.415798,Comprehensive,4461.28,250,Pending,1538.43,False
POL000031,CLM00000031,50,M,TX,Toyota,Hatchback,2018,2024-03-04 16:00:29.415798,Uninsured Motorist,3649.43,250,Denied,1017.34,False
POL000032,CLM00000032,29,M,CA,Chevrolet,Convertible,2017,2023-05-31 16:00:29.415798,Uninsured Motorist,5126.05,1000,Approved,973.53,False
POL000033,CLM00000033,75,F,MI,Toyota,Hatchback,2020,2023-11-04 16:00:29.415798,Uninsured Motorist,1287.4,500,Approved,1192.14,False
POL000034,CLM00000034,39,F,TX,Honda,Coupe,2023,2025-05-08 16:00:29.415798,Personal Injury Protection,8935.36,500,Under Investigation,991.44,False
POL000035,CLM00000035,78,M,OH,BMW,Convertible,2021,2024-07-30 16:00:29.415798,Comprehensive,1856.67,500,Approved,1805.63,False
POL000036,CLM00000036,61,M,FL,Nissan,SUV,2019,2024-05-07 16:00:29.415798,Liability,5888.55,250,Denied,1392.75,False
POL000037,CLM00000037,42,M,MI,Nissan,Sedan,2018,2024-03-04 16:00:29.415798,Uninsured Motorist,1343.54,500,Under Investigation,1366.26,False
POL000038,CLM00000038,66,F,TX,Ford,SUV,2011,2023-10-31 16:00:29.415798,Uninsured Motorist,42114.36,1000,Denied,1528.25,False
POL000039,CLM00000039,44,M,OH,Chevrolet,SUV,2015,2023-12-31 16:00:29.415798,Comprehensive,5976.1,250,Approved,1429.17,False
POL000040,CLM00000040,76,F,TX,Kia,Sedan,2013,2024-05-03 16:00:29.415798,Uninsured Motorist,53328.83,250,Denied,1264.07,False
POL000041,CLM00000041,59,M,FL,Mercedes,Sedan,2023,2023-09-06 16:00:29.415798,Personal Injury Protection,6819.91,250,Denied,1195.16,False
POL000042,CLM00000042,45,M,OH,Kia,Hatchback,2013,2023-08-27 16:00:29.415798,Personal Injury Protection,1700.26,250,Denied,1254.0,False
POL000043,CLM00000043,77,M,NY,Ford,Hatchback,2014,2024-06-17 16:00:29.415798,Uninsured Motorist,6832.06,1000,Approved,1231.49,False
POL000044,CLM00000044,33,M,CA,Honda,Sedan,2021,2023-09-01 16:00:29.415798,Comprehensive,7336.21,500,Approved,1211.71,False
POL000045,CLM00000045,32,F,PA,Mercedes,Convertible,2012,2024-05-26 16:00:29.415798,Comprehensive,4330.01,1000,Pending,1149.9,False
POL000046,CLM00000046,79,F,NC,BMW,Truck,2023,2024-05-11 16:00:29.415798,Comprehensive,5599.28,500,Approved,1177.62,False
POL000047,CLM00000047,79,M,GA,Kia,Hatchback,2010,2025-02-01 16:00:29.415798,Collision,6385.13,1000,Approved,1250.45,False
POL000048,CLM00000048,64,M,NC,BMW,Truck,2017,2024-02-19 16:00:29.415798,Uninsured Motorist,1103.58,2500,Approved,1418.42,False
POL000049,CLM00000049,79,F,MI,Kia,Convertible,2014,2023-07-08 16:00:29.415798,Comprehensive,1027.76,2500,Under Investigation,1164.99,True
POL000050,CLM00000050,68,F,NC,BMW,Sedan,2012,2024-09-06 16:00:29.415798,Personal Injury Protection,1347.2,2500,Approved,1824.66,False
POL000051,CLM00000051,61,F,OH,Kia,Convertible,2019,2024-11-24 16:00:29.415798,Liability,3386.47,2500,Approved,1011.85,False
POL000052,CLM00000052,72,F,NY,BMW,Hatchback,2023,2023-09-29 16:00:29.415798,Liability,2384.7,250,Approved,1727.45,False
POL000053,CLM00000053,69,M,PA,Ford,SUV,2016,2024-06-15 16:00:29.415798,Comprehensive,1123.75,250,Denied,1799.0,False
POL000054,CLM00000054,74,F,CA,Audi,Sedan,2016,2023-08-13 16:00:29.415798,Liability,6472.48,1000,Approved,1829.62,False
POL000055,CLM00000055,20,M,CA,Mercedes,Coupe,2010,2024-12-10 16:00:29.415798,Liability,3956.22,1000,Approved,2220.73,False
POL000056,CLM00000056,54,F,FL,Chevrolet,Truck,2021,2024-03-20 16:00:29.415798,Collision,3529.56,2500,Approved,1132.53,False
POL000057,CLM00000057,68,F,GA,Honda,Convertible,2018,2025-02-26 16:00:29.415798,Personal Injury Protection,2303.1,500,Under Investigation,1391.82,False
POL000058,CLM00000058,24,F,TX,Hyundai,Sedan,2011,2025-02-16 16:00:29.415798,Personal Injury Protection,2042.18,2500,Approved,1823.89,False
POL000059,CLM00000059,38,F,NY,Toyota,Convertible,2014,2024-05-29 16:00:29.415798,Collision,1285.2,1000,Approved,1043.58,False
POL000060,CLM00000060,26,F,TX,Chevrolet,Sedan,2022,2025-01-05 16:00:29.415798,Collision,7583.58,2500,Approved,973.36,True
POL000061,CLM00000061,56,M,PA,Toyota,Hatchback,2023,2023-12-07 16:00:29.415798,Liability,1475.14,1000,Pending,1481.47,False
POL000062,CLM00000062,35,M,NC,Mercedes,Hatchback,2014,2025-05-15 16:00:29.415798,Uninsured Motorist,3675.3,2500,Denied,1292.48,False
POL000063,CLM00000063,21,F,CA,Chevrolet,Hatchback,2023,2023-08-04 16:00:29.415798,Liability,15709.33,500,Pending,1987.85,True
POL000064,CLM00000064,42,F,PA,BMW,Convertible,2017,2023-07-10 16:00:29.415798,Collision,2138.25,2500,Under Investigation,1516.19,False
POL000065,CLM00000065,77,M,NC,BMW,Coupe,2023,2025-04-01 16:00:29.415798,Personal Injury Protection,7790.83,500,Approved,1630.89,False
POL000066,CLM00000066,31,F,CA,Hyundai,Hatchback,2017,2024-01-13 16:00:29.415798,Liability,5264.33,500,Denied,1374.51,False
POL000067,CLM00000067,67,F,NC,Toyota,Sedan,2023,2024-03-16 16:00:29.415798,Uninsured Motorist,4070.28,1000,Approved,1718.62,False
POL000068,CLM00000068,75,M,GA,Honda,Hatchback,2016,2023-08-14 16:00:29.415798,Liability,4584.1,500,Approved,1235.77,False
POL000069,CLM00000069,26,F,NY,Mercedes,SUV,2016,2024-01-18 16:00:29.415798,Comprehensive,2711.06,250,Approved,1176.1,False
POL000070,CLM00000070,43,F,MI,BMW,Hatchback,2021,2023-09-05 16:00:29.415798,Liability,3086.45,250,Approved,1540.92,False
POL000071,CLM00000071,70,M,PA,Audi,Convertible,2020,2024-06-17 16:00:29.415798,Collision,1723.11,250,Pending,1816.51,False
POL000072,CLM00000072,19,M,PA,Ford,Coupe,2015,2024-03-04 16:00:29.415798,Personal Injury Protection,3107.14,1000,Approved,2235.67,False
POL000073,CLM00000073,37,M,IL,Ford,SUV,2015,2024-08-31 16:00:29.415798,Personal Injury Protection,1660.33,250,Under Investigation,1231.25,False
POL000074,CLM00000074,45,F,OH,Kia,Convertible,2020,2025-03-05 16:00:29.415798,Collision,8149.04,1000,Approved,1474.32,True
POL000075,CLM00000075,64,M,GA,Honda,Convertible,2018,2024-06-01 16:00:29.415798,Comprehensive,544.85,1000,Approved,989.04,False
POL000076,CLM00000076,77,M,GA,Ford,Convertible,2015,2023-11-07 16:00:29.415798,Collision,4822.53,250,Under Investigation,1258.93,False
POL000077,CLM00000077,24,M,TX,Kia,Sedan,2021,2024-06-07 16:00:29.415798,Liability,4173.82,500,Denied,1812.57,False
POL000078,CLM00000078,61,M,NC,Toyota,Convertible,2022,2024-05-22 16:00:29.415798,Collision,3812.41,2500,Denied,1250.04,False
POL000079,CLM00000079,78,M,OH,BMW,Sedan,2022,2023-12-25 16:00:29.415798,Collision,8304.05,1000,Approved,1341.73,False
POL000080,CLM00000080,25,M,NY,BMW,Convertible,2011,2025-04-10 16:00:29.415798,Comprehensive,2239.21,250,Approved,1173.89,False
POL000081,CLM00000081,64,F,NY,Audi,Truck,2011,2024-02-22 16:00:29.415798,Liability,3848.48,1000,Denied,1057.67,False
POL000082,CLM00000082,52,F,GA,Chevrolet,SUV,2022,2025-05-12 16:00:29.415798,Uninsured Motorist,535.64,500,Denied,1253.48,False
POL000083,CLM00000083,31,M,NY,Ford,Truck,2014,2025-04-23 16:00:29.415798,Uninsured Motorist,1967.82,500,Approved,1436.31,False
POL000084,CLM00000084,34,M,IL,Toyota,Convertible,2013,2025-03-18 16:00:29.415798,Personal Injury Protection,7014.51,250,Pending,1356.82,True
POL000085,CLM00000085,53,M,PA,Nissan,SUV,2020,2023-08-06 16:00:29.415798,Collision,781.21,1000,Denied,1024.68,False
POL000086,CLM00000086,67,F,FL,Ford,SUV,2011,2025-02-06 16:00:29.415798,Personal Injury Protection,3497.29,2500,Pending,1503.06,False
POL000087,CLM00000087,57,F,MI,Honda,Coupe,2012,2025-03-05 16:00:29.415798,Comprehensive,1513.96,2500,Denied,1378.59,False
POL000088,CLM00000088,21,F,TX,Chevrolet,Truck,2016,2023-11-16 16:00:29.415798,Uninsured Motorist,2667.81,1000,Denied,1916.91,False
POL000089,CLM00000089,19,F,NC,Ford,Coupe,2017,2024-11-21 16:00:29.415798,Collision,1607.32,1000,Approved,1792.51,False
POL000090,CLM00000090,79,F,MI,Toyota,SUV,2021,2024-01-30 16:00:29.415798,Comprehensive,856.46,1000,Approved,1599.78,False
POL000091,CLM00000091,23,F,NC,Ford,Sedan,2022,2023-11-08 16:00:29.415798,Comprehensive,4385.26,250,Under Investigation,2311.77,False
POL000092,CLM00000092,71,F,CA,Honda,SUV,2015,2024-09-09 16:00:29.415798,Collision,2836.72,500,Approved,1220.33,False
POL000093,CLM00000093,59,F,MI,Nissan,Coupe,2020,2024-06-16 16:00:29.415798,Comprehensive,5500.69,2500,Approved,1194.01,False
POL000094,CLM00000094,21,F,FL,Mercedes,Truck,2014,2024-02-25 16:00:29.415798,Collision,6597.45,250,Approved,1805.95,False
POL000095,CLM00000095,71,M,GA,Hyundai,Convertible,2022,2025-03-10 16:00:29.415798,Collision,10150.3,1000,Approved,1567.42,False
POL000096,CLM00000096,46,M,IL,Nissan,Convertible,2010,2025-04-28 16:00:29.415798,Liability,3406.66,1000,Pending,1051.3,False
POL000097,CLM00000097,35,M,PA,Kia,Truck,2017,2024-12-15 16:00:29.415798,Personal Injury Protection,10600.12,500,Under Investigation,1065.99,False
POL000098,CLM00000098,43,M,PA,Ford,Convertible,2012,2024-01-04 16:00:29.415798,Comprehensive,1123.52,1000,Approved,1131.22,False
POL000099,CLM00000099,61,F,IL,BMW,Convertible,2015,2025-04-25 16:00:29.415798,Comprehensive,7397.96,250,Approved,1533.52,False
POL000100,CLM00000100,51,F,OH,Audi,Coupe,2012,2024-04-21 16:00:29.415798,Liability,4719.18,250,Denied,1400.47,False
POL000101,CLM00000101,27,M,CA,BMW,Truck,2016,2023-07-21 16:00:29.415798,Liability,3763.45,500,Denied,1357.02,False
POL000102,CLM00000102,79,F,NC,Nissan,Hatchback,2022,2024-01-14 16:00:29.415798,Liability,4650.51,250,Pending,1740.21,False
POL000103,CLM00000103,53,M,FL,BMW,Sedan,2023,2023-06-26 16:00:29.415798,Uninsured Motorist,1140.54,2500,Approved,1036.55,False
POL000104,CLM00000104,31,F,NY,Toyota,Sedan,2016,2024-04-12 16:00:29.415798,Uninsured Motorist,900.77,250,Approved,1475.6,False
POL000105,CLM00000105,48,M,MI,BMW,Convertible,2021,2024-07-08 16:00:29.415798,Uninsured Motorist,16478.77,250,Approved,1316.9,True
POL000106,CLM00000106,65,F,CA,Chevrolet,Sedan,2018,2024-02-23 16:00:29.415798,Collision,2518.15,250,Pending,1161.2,True
POL000107,CLM00000107,32,F,MI,Mercedes,Truck,2014,2023-07-31 16:00:29.415798,Comprehensive,2482.46,2500,Denied,1449.51,False
POL000108,CLM00000108,25,M,FL,Ford,Truck,2017,2023-12-27 16:00:29.415798,Personal Injury Protection,989.99,1000,Denied,1441.54,False
POL000109,CLM00000109,31,F,TX,BMW,SUV,2019,2024-12-25 16:00:29.415798,Collision,677.37,250,Approved,1467.43,False
POL000110,CLM00000110,40,M,TX,Honda,SUV,2019,2024-04-11 16:00:29.415798,Comprehensive,2728.97,500,Denied,1029.31,False
POL000111,CLM00000111,77,M,CA,Mercedes,Sedan,2017,2023-12-28 16:00:29.415798,Comprehensive,2118.39,2500,Under Investigation,1849.94,False
POL000112,CLM00000112,74,M,GA,Mercedes,Hatchback,2010,2025-03-26 16:00:29.415798,Liability,2986.13,500,Approved,1842.93,False
POL000113,CLM00000113,79,M,FL,BMW,SUV,2021,2024-10-17 16:00:29.415798,Liability,3252.42,250,Approved,1409.38,False
POL000114,CLM00000114,57,F,FL,Mercedes,SUV,2014,2024-07-03 16:00:29.415798,Collision,35934.79,500,Approved,999.54,True
POL000115,CLM00000115,38,F,IL,Audi,Truck,2012,2025-03-13 16:00:29.415798,Liability,2124.77,250,Approved,1060.23,False
POL000116,CLM00000116,33,F,GA,BMW,Hatchback,2010,2024-09-05 16:00:29.415798,Comprehensive,14471.55,2500,Approved,1555.7,False
POL000117,CLM00000117,62,M,NC,Toyota,Convertible,2013,2023-10-18 16:00:29.415798,Liability,15398.48,500,Approved,1297.81,False
POL000118,CLM00000118,35,F,NC,Nissan,Sedan,2017,2024-02-20 16:00:29.415798,Uninsured Motorist,6333.6,500,Approved,1173.97,False
POL000119,CLM00000119,64,M,NY,Chevrolet,SUV,2012,2023-10-14 16:00:29.415798,Liability,2356.36,250,Approved,1132.92,False
POL000120,CLM00000120,70,F,PA,Hyundai,Hatchback,2019,2024-02-01 16:00:29.415798,Comprehensive,763.97,250,Approved,1337.03,False
POL000121,CLM00000121,41,F,TX,Kia,Hatchback,2011,2024-12-19 16:00:29.415798,Collision,4807.55,1000,Under Investigation,1358.49,False
POL000122,CLM00000122,43,F,NC,Mercedes,Sedan,2020,2024-11-26 16:00:29.415798,Personal Injury Protection,8256.96,250,Approved,1211.63,False
POL000123,CLM00000123,42,M,GA,Toyota,Hatchback,2018,2024-02-18 16:00:29.415798,Liability,17114.6,250,Denied,1539.25,False
POL000124,CLM00000124,77,F,FL,Ford,Hatchback,2019,2025-01-12 16:00:29.415798,Comprehensive,1152.91,1000,Approved,1644.37,False
POL000125,CLM00000125,77,F,NC,Ford,Hatchback,2014,2024-08-05 16:00:29.415798,Personal Injury Protection,2336.65,250,Denied,1722.27,False
POL000126,CLM00000126,77,M,FL,Kia,SUV,2023,2025-01-11 16:00:29.415798,Personal Injury Protection,1159.95,250,Approved,1362.77,False
POL000127,CLM00000127,62,F,NC,Chevrolet,Sedan,2016,2024-07-06 16:00:29.415798,Uninsured Motorist,1582.12,1000,Under Investigation,1007.51,False
POL000128,CLM00000128,58,M,TX,Mercedes,Hatchback,2020,2024-05-29 16:00:29.415798,Personal Injury Protection,5792.9,2500,Approved,1252.69,False
POL000129,CLM00000129,46,F,MI,Audi,Hatchback,2020,2024-01-04 16:00:29.415798,Comprehensive,1511.25,2500,Denied,1148.75,False
POL000130,CLM00000130,32,M,NC,Kia,SUV,2011,2023-10-13 16:00:29.415798,Comprehensive,1307.31,250,Approved,1081.25,False
POL000131,CLM00000131,62,M,GA,Chevrolet,Sedan,2018,2024-10-27 16:00:29.415798,Liability,6614.34,250,Denied,1531.59,False
POL000132,CLM00000132,18,F,NC,Mercedes,Truck,2022,2024-10-11 16:00:29.415798,Liability,4678.53,1000,Approved,1839.59,True
POL000133,CLM00000133,42,M,PA,Toyota,SUV,2018,2023-08-26 16:00:29.415798,Liability,4230.23,1000,Approved,1064.83,False
POL000134,CLM00000134,24,M,TX,Nissan,Sedan,2013,2023-07-12 16:00:29.415798,Personal Injury Protection,1551.71,2500,Approved,1618.79,False
POL000135,CLM00000135,26,M,GA,Audi,Hatchback,2013,2023-09-14 16:00:29.415798,Personal Injury Protection,10861.97,500,Denied,1128.43,False
POL000136,CLM00000136,41,M,IL,Hyundai,Sedan,2015,2023-10-28 16:00:29.415798,Uninsured Motorist,3024.47,250,Pending,1559.59,False
POL000137,CLM00000137,18,M,GA,Ford,Sedan,2019,2025-02-25 16:00:29.415798,Liability,32215.09,500,Under Investigation,1681.21,False
POL000138,CLM00000138,61,M,PA,Honda,Convertible,2019,2023-11-04 16:00:29.415798,Collision,3502.27,500,Approved,1157.28,False
POL000139,CLM00000139,25,F,MI,Toyota,Sedan,2019,2025-04-20 16:00:29.415798,Uninsured Motorist,289.07,1000,Approved,1355.6,False
POL000140,CLM00000140,41,M,TX,Ford,Truck,2015,2024-07-30 16:00:29.415798,Collision,276.48,250,Pending,1136.38,False
POL000141,CLM00000141,28,M,IL,BMW,Sedan,2021,2025-01-24 16:00:29.415798,Personal Injury Protection,5563.32,250,Approved,1089.48,False
POL000142,CLM00000142,68,F,PA,Honda,Truck,2010,2023-07-29 16:00:29.415798,Uninsured Motorist,10943.43,1000,Denied,1266.22,False
POL000143,CLM00000143,34,F,PA,Ford,Hatchback,2023,2024-06-22 16:00:29.415798,Uninsured Motorist,1361.27,500,Pending,1147.61,False
POL000144,CLM00000144,25,F,CA,Chevrolet,Truck,2023,2024-06-18 16:00:29.415798,Comprehensive,24366.85,1000,Under Investigation,1023.55,False
POL000145,CLM00000145,52,F,TX,Audi,Hatchback,2018,2025-01-24 16:00:29.415798,Personal Injury Protection,15724.87,2500,Approved,971.19,True
POL000146,CLM00000146,52,F,GA,Ford,Hatchback,2011,2024-09-15 16:00:29.415798,Personal Injury Protection,3679.55,250,Approved,1442.79,False
POL000147,CLM00000147,50,F,FL,Hyundai,Truck,2014,2024-11-16 16:00:29.415798,Uninsured Motorist,5112.55,2500,Approved,1042.74,False
POL000148,CLM00000148,76,F,MI,Nissan,SUV,2018,2024-02-06 16:00:29.415798,Personal Injury Protection,7291.98,1000,Denied,1710.7,False
POL000149,CLM00000149,22,M,FL,Chevrolet,Coupe,2013,2024-12-11 16:00:29.415798,Uninsured Motorist,19731.96,250,Approved,2157.79,True
POL000150,CLM00000150,59,M,GA,Toyota,Sedan,2020,2023-06-05 16:00:29.415798,Comprehensive,5896.63,2500,Approved,1282.75,False
POL000151,CLM00000151,56,F,GA,Toyota,Convertible,2012,2025-04-20 16:00:29.415798,Uninsured Motorist,3597.27,2500,Approved,1145.81,False
POL000152,CLM00000152,75,M,TX,Toyota,Coupe,2016,2023-09-19 16:00:29.415798,Personal Injury Protection,5838.92,500,Approved,1256.42,False
POL000153,CLM00000153,58,M,GA,Toyota,Sedan,2015,2025-04-22 16:00:29.415798,Personal Injury Protection,5101.86,250,Denied,1402.08,False
POL000154,CLM00000154,45,M,CA,Nissan,Sedan,2017,2024-11-24 16:00:29.415798,Uninsured Motorist,7513.15,2500,Denied,1320.83,False
POL000155,CLM00000155,24,F,IL,Ford,Hatchback,2012,2024-02-22 16:00:29.415798,Uninsured Motorist,620.16,2500,Approved,2029.91,True
POL000156,CLM00000156,26,F,GA,Mercedes,Sedan,2014,2025-03-11 16:00:29.415798,Uninsured Motorist,4088.17,500,Approved,965.2,False
POL000157,CLM00000157,25,M,FL,Ford,Convertible,2019,2024-05-07 16:00:29.415798,Liability,4724.14,2500,Pending,1516.51,False
POL000158,CLM00000158,29,F,GA,BMW,Sedan,2013,2023-09-16 16:00:29.415798,Personal Injury Protection,2771.52,2500,Approved,999.77,False
POL000159,CLM00000159,51,M,CA,Audi,Truck,2022,2024-03-20 16:00:29.415798,Personal Injury Protection,6530.03,2500,Under Investigation,1180.08,False
POL000160,CLM00000160,50,M,NC,Honda,Coupe,2013,2024-08-12 16:00:29.415798,Liability,20356.75,500,Pending,1201.63,True
POL000161,CLM00000161,65,M,NC,Mercedes,Truck,2013,2023-11-02 16:00:29.415798,Uninsured Motorist,3422.81,2500,Approved,960.81,False
POL000162,CLM00000162,72,M,PA,Mercedes,Convertible,2019,2024-08-31 16:00:29.415798,Comprehensive,5953.42,2500,Approved,1509.9,False
POL000163,CLM00000163,40,F,MI,Ford,Sedan,2017,2023-05-28 16:00:29.415798,Uninsured Motorist,14857.57,250,Pending,1411.69,True
POL000164,CLM00000164,79,F,NY,Mercedes,Convertible,2015,2024-02-18 16:00:29.415798,Uninsured Motorist,3503.66,250,Approved,1744.75,False
POL000165,CLM00000165,41,F,IL,Kia,Hatchback,2012,2024-10-18 16:00:29.415798,Liability,1226.03,500,Approved,1487.64,False
POL000166,CLM00000166,54,M,OH,Kia,Truck,2019,2023-11-23 16:00:29.415798,Personal Injury Protection,5518.04,1000,Approved,1252.63,False
POL000167,CLM00000167,52,F,PA,BMW,Truck,2014,2024-10-25 16:00:29.415798,Uninsured Motorist,329.75,250,Approved,1338.38,False
POL000168,CLM00000168,61,M,MI,Honda,SUV,2015,2023-09-10 16:00:29.415798,Personal Injury Protection,299.36,500,Under Investigation,1007.71,False
POL000169,CLM00000169,57,F,NC,Hyundai,Sedan,2014,2025-02-23 16:00:29.415798,Collision,4158.93,2500,Under Investigation,1252.82,False
POL000170,CLM00000170,39,M,FL,Nissan,Hatchback,2015,2024-03-25 16:00:29.415798,Personal Injury Protection,285.72,2500,Under Investigation,1052.89,False
POL000171,CLM00000171,44,M,OH,Ford,Truck,2017,2025-03-09 16:00:29.415798,Comprehensive,800.18,500,Approved,1181.79,False
POL000172,CLM00000172,52,M,MI,Nissan,Truck,2016,2024-10-25 16:00:29.415798,Comprehensive,2038.36,2500,Approved,1157.58,False
POL000173,CLM00000173,18,F,MI,Hyundai,Hatchback,2014,2025-02-06 16:00:29.415798,Uninsured Motorist,1448.93,2500,Denied,1821.19,False
POL000174,CLM00000174,52,F,PA,Ford,Convertible,2019,2023-12-14 16:00:29.415798,Personal Injury Protection,2571.37,1000,Approved,1302.98,False
POL000175,CLM00000175,54,F,OH,Ford,Convertible,2015,2023-10-28 16:00:29.415798,Uninsured Motorist,9071.29,2500,Denied,1501.73,False
POL000176,CLM00000176,64,F,TX,Honda,Sedan,2023,2024-06-10 16:00:29.415798,Liability,3783.79,250,Approved,1196.69,False
POL000177,CLM00000177,31,M,NY,Nissan,SUV,2013,2023-11-06 16:00:29.415798,Comprehensive,1287.79,2500,Denied,1548.68,False
POL000178,CLM00000178,20,F,TX,Kia,Truck,2021,2024-11-27 16:00:29.415798,Uninsured Motorist,11550.0,500,Approved,2123.13,False
POL000179,CLM00000179,18,F,OH,Toyota,SUV,2018,2024-11-18 16:00:29.415798,Liability,714.19,1000,Approved,1900.33,False
POL000180,CLM00000180,22,M,TX,Nissan,Convertible,2022,2023-05-25 16:00:29.415798,Uninsured Motorist,3721.51,2500,Approved,2019.62,True
POL000181,CLM00000181,43,M,CA,Audi,Convertible,2013,2025-01-27 16:00:29.415798,Personal Injury Protection,639.01,500,Approved,1021.33,False
POL000182,CLM00000182,72,M,NC,Audi,Coupe,2010,2024-04-20 16:00:29.415798,Personal Injury Protection,3836.51,250,Approved,1760.06,False
POL000183,CLM00000183,31,F,CA,Ford,Sedan,2016,2024-10-06 16:00:29.415798,Personal Injury Protection,2167.59,2500,Denied,1309.41,False
POL000184,CLM00000184,56,M,GA,Toyota,Coupe,2016,2023-06-13 16:00:29.415798,Personal Injury Protection,8797.63,1000,Under Investigation,1551.64,False
POL000185,CLM00000185,44,M,TX,Chevrolet,Coupe,2013,2023-09-16 16:00:29.415798,Collision,6128.4,2500,Under Investigation,1341.86,False
POL000186,CLM00000186,26,M,GA,Hyundai,Coupe,2022,2024-05-30 16:00:29.415798,Liability,1657.16,500,Pending,1460.47,False
POL000187,CLM00000187,32,F,FL,BMW,Sedan,2023,2024-04-03 16:00:29.415798,Liability,1367.94,1000,Approved,1439.86,False
